title	json_data	author	summary	ingredients	instructions
Broccoli Leek Quiche	{"name": "Broccoli Leek Quiche"}	Marlene Goetschel	<p>GRADUATION BREAKFAST        CASSEROLE</p><p>Stefanie Brunkhorst</p>	[{'amount': '1', 'unit': '', 'name': 'pkg. Knorr leek soup', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '10 oz package', 'name': 'chopped broccoli/spinach (well drained)', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'cup', 'name': 'cheddar cheese', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'ham', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'pepper', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '9-inch', 'name': 'pie shell', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'cup', 'name': 'Half-and-Half cream', 'notes': '', 'type': 'ingredient'}, {'amount': '12', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '⅔', 'unit': 'cup', 'name': 'onion', 'notes': 'chopped', 'type': 'ingredient'}, {'amount': '1-2', 'unit': 'cups', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': 'cups', 'name': 'cheddar cheese', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '1', 'unit': '2 lb package', 'name': 'hash browns', 'notes': '', 'type': 'ingredient'}, {'amount': '2½', 'unit': 'cup', 'name': 'meat (chopped ham', 'notes': 'bacon or sausage)', 'type': 'ingredient'}, {'amount': '⅔', 'unit': 'cup', 'name': 'green pepper', 'notes': 'chopped', 'type': 'ingredient'}]	[{'text': '<p>Mix leek soup mix, cheese, broccoli/spinach, ham and pepper; spoon into uncooked pie shell.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Beat eggs and Half-and-Half and blend well. Pour over the mix in the pie shell.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake at 375° for 40-45 minutes until the center is well set.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Let stand 10 minutes. Slice and serve. Serves 6.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Mix eggs and milk; beat well. Combine remaining ingredients and put in a cake pan.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour the milk-egg mixture over; refrigerate overnight.</p>', 'type': 'instruction', 'image_url': ''}, {'text': "<p>Bake for 1½ hours at 350°. You may add any ingredients you'd put on an omelet.</p>", 'type': 'instruction', 'image_url': ''}]
Blueberry Sour Cream Pancakes	{"name": "Blueberry Sour Cream Pancakes"}	Angie Brunkhorst	<p>QUICK HOMEMADE PANCAKES</p><p>Bob Brunkhorst</p>	[{'amount': '2', 'unit': 'cups', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'baking powder', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'baking soda', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'large eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'sour cream', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'canola oil', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'blueberries (dusted with nutmeg)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'large egg', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'baking powder', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'butter (melted', 'notes': 'for griddle)', 'type': 'ingredient'}]	[{'text': '<p>Mix together flour, sugar, baking powder and soda.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>In another bowl, whisk together the eggs, sour cream and oil. Add the flour mixture and stir the batter until it is just combined. Gently fold in blueberries.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake on a griddle heated to 350°. Turn only once.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Mix dry ingredients and then add wet to moisten. Beat out lumps.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Using a pancake griddle is best for these, but can be pan fried. Coat pan with butter on medium low heat. Pour batter (½ (cup)) onto a hot surface.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>When the surface is bubbly, flip cakes. Cook until lightly brown. These are not thick and doughy or dry, but just right!</p>', 'type': 'instruction', 'image_url': ''}]
French Toast	{"name": "French Toast"}	Jazimen Brunkhorst		[{'amount': '2', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '6', 'unit': '', 'name': 'slices bread', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Beat eggs. Add milk, sugar and salt. Dip each bread slice into egg mixture.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Fry in a frying pan with a small amount of melted butter or oil.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Top with your favorite syrup. Can sprinkle with cinnamon prior to frying for added flavor.</p>', 'type': 'instruction', 'image_url': ''}]
Quiche Lorraine	{"name": "Quiche Lorraine"}	Marlene Goetschel	<p>I have doubled the cheese, egg and Worcestershire sauce and baked for 40 minutes.</p><p>ZIP LOCK OMELETS</p><p>Jazimen Brunkhorst</p>	[{'amount': '1', 'unit': '', 'name': 'can Pillsbury crescent dinner rolls', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'egg (beaten)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'can evaporated milk', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'Worcestershire sauce', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'Swiss cheese', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '1', 'unit': '3½ oz can', 'name': 'French fried onions', 'notes': '', 'type': 'ingredient'}, {'amount': '9', 'unit': '', 'name': 'slices bacon (fried crisp', 'notes': 'crumbled)', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'eggs (per person)', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Quart size zip lock freezer bags', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Variety of ingredients (mushrooms', 'notes': 'onions, green pepper, cheeses, tomatoes, olives, ham, prepared sausage, etc.)', 'type': 'ingredient'}]	[{'text': '<p>Unroll and separate dough into triangles. Place in a 9-inch pie pan or 9-inch quiche pan, pressing pieces together to form a crust.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Combine egg, milk, salt and Worcestershire sauce. Stir in cheese. Sprinkle half of the onions over the unbaked crust.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour egg mixture into the crust. Sprinkle with bacon and onions.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake at 325° for 25-50 minutes (40-45 for quiche pan). Allow to cool 5 minutes before  serving. Enjoy!</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Have everyone write their name on a quart-size zip lock freezer bag with a</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>permanent marker.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Crack 2 eggs into the bag, no more than 2 eggs in each bag. Shake to combine them. Put in chosen ingredients and shake. Make sure to get all the air out of the bag and zip it up.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Place bags in a pan of rolling, boiling water for exactly 13 minutes. Can usually cook 6-8 bags at one time, depending on the size of the kettle.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Remove from the kettle, open the bags and the omelet will fall out. Fun family activity!</p>', 'type': 'instruction', 'image_url': ''}]
Mini Smokie Links Stefanie Brunkhorst	{"name": "Mini Smokie Links Stefanie Brunkhorst"}	None		[{'amount': '', 'unit': '', 'name': 'Mini smokie links', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Bacon', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Brown sugar', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Wrap bacon around the smokie links with enough bacon to go around links. Seal with toothpick and cover with brown sugar.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake 30-45 minutes at 350°.</p>', 'type': 'instruction', 'image_url': ''}]
White Frosting	{"name": "White Frosting"}	None		[{'amount': '2', 'unit': '', 'name': '¼ (cup) powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'Crisco', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Beat well until light. Good on chocolate cake.</p>', 'type': 'instruction', 'image_url': ''}]
Cooked Frosting-out Of This World Icing	{"name": "Cooked Frosting-out Of This World Icing"}	None		[{'amount': '¾', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': 'tbsp', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'stick butter', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'shortening', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tbsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Blend milk and flour and cook over the stove until thick. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Beat butter, shortening, sugar and vanilla. Slowly add cooled flour mixture. Beat until fluffy. Frost.</p>', 'type': 'instruction', 'image_url': ''}]
Cooked Frosting	{"name": "Cooked Frosting"}	None		[{'amount': '1', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': 'tbsp', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'butter or margarine', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Cook milk, flour and salt until thick. Let cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Beat butter or margarine for 4 minutes. Add sugar and vanilla. Beat 4 minutes more.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add cooled flour mixture and beat 4 more minutes.</p>', 'type': 'instruction', 'image_url': ''}]
Chocolate Buttercream Frosting	{"name": "Chocolate Buttercream Frosting"}	None		[{'amount': '6', 'unit': 'tbsp', 'name': 'butter or margarine', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'cocoa', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': '⅔ (cups) powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Cream butter or margarine. Add cocoa and powdered sugar alternately with milk; beat to spreading consistency. Blend in vanilla.</p>', 'type': 'instruction', 'image_url': ''}]
Chocolate Cream Cheese Frosting	{"name": "Chocolate Cream Cheese Frosting"}	None		[{'amount': '2', 'unit': '8 oz', 'name': 'pkgs', 'notes': 'cream cheese (softened)', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'butter (softened)', 'notes': '', 'type': 'ingredient'}, {'amount': '6', 'unit': 'tbsp', 'name': 'cocoa', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla extract', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': "½ (cup) confectioners' sugar", 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Cream the cream cheese and butter until fluffy. Add cocoa and vanilla.</p>', 'type': 'instruction', 'image_url': ''}, {'text': "<p>Slowly mix in confectioners' sugar until the frosting is smooth. Spread over cooled</p>", 'type': 'instruction', 'image_url': ''}, {'text': '<p>cake.</p>', 'type': 'instruction', 'image_url': ''}]
Cake Icing (good For Decorating)	{"name": "Cake Icing (good For Decorating)"}	In memory of Rose M Schumacher (Larry)		[{'amount': '1', 'unit': 'lb', 'name': 'powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'Crisco (white)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla (white preferred)', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'almond flavoring', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'water (more or less depending on desired consistency)', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Coloring (as desired)', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Mix all ingredients together at once. The longer you beat this the better it is to work with.</p>', 'type': 'instruction', 'image_url': ''}, {'text': "<p>Double the recipe for sheet cake size. This keeps well in the refrigerator and may be frozen. Keep tightly covered. To color, it's best to use paste color instead of liquid.</p>", 'type': 'instruction', 'image_url': ''}]
Creamy Caramel Frosting	{"name": "Creamy Caramel Frosting"}	Ann and Phil Brunkhorst		[{'amount': '½', 'unit': 'cup', 'name': 'butter', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'brown sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Milk', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Melt butter; brown lightly. Watch closely as it will burn! Add brown sugar; bring to a boil. Remove from heat. Cool to lukewarm.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add ½ (cup) powdered sugar at a time. Beat until smooth and creamy. Add milk if too thick, 1 (tsp) at a time. Great on cinnamon rolls!</p>', 'type': 'instruction', 'image_url': ''}]
Cupcake Filling	{"name": "Cupcake Filling"}	Ann and Philip Brunkhorst		[{'amount': '⅔', 'unit': 'cup', 'name': 'Crisco', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'evaporated milk', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Pinch of salt', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Mix ingredients in the order given. Beat on high until light and fluffy. Fill cupcakes with a cake decorator bag. Frost cupcakes following.</p>', 'type': 'instruction', 'image_url': ''}]
Great Grandma Dell's Angel Food Cake	{"name": "Great Grandma Dell's Angel Food Cake"}	Alexandra Matloff	<p>The most delicious angel food cake I have ever tasted has been handed down in my family for four generations. I call it my "Great Grandma Dell's Angel FoodCake." My great grandma Della learned to make this special angel food cake from her mother, my great-great grandma Anna, who lived in Austria. My great grandma Della loved to prepare and eat this tasty cake. Great Grandma Della was raised in a small farming town in Masonville, Iowa. She had fresh eggs from the chickens and milk from the cows that she raised on her farm. The angel food cake recipe is a favorite of mine because when I make the cake with my Grandma, she shares stories about the times when she and her mother used to make this recipe. I like to watch my Grandma crack open the twelve eggs for the cake. Sometimes she lets me crack them. The cake is used mainly on birthdays. I love the smell of the cake cooking. It reminds me of all the happy birthdays we have celebrated. I like the fluffy cake with chocolate ice cream.</p><p>This recipe and story was written by Annamae Fabric's granddaughter, Alexandra Matloff, daughter of Natalie Fabric Matloff, as an English project, November 1999.</p>	[{'amount': '1', 'unit': 'cup', 'name': 'cake flour (sifted)', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'fine sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'cup', 'name': 'egg whites (approximately 12 eggs)', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'tsp', 'name': 'cream of tartar', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'tsp', 'name': 'vanilla flavoring', 'notes': '', 'type': 'ingredient'}, {'amount': '12¼', 'unit': 'tsp', 'name': 'almond flavoring', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'fine sugar', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>This mouth-watering angel food cake is made by first, combining the sifted flour with ¾ (cup) sugar and sifting four times. Then, while the oven is preheating at 375", beat together the egg whites, cream of tartar, salt and flavorings until soft peaks form.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Next, add the remaining ¾ (cup) of sugar, 2 (tbsp) at a time, beating the mixture after each addition of sugar. The flour and sugar combination is then folded in very, very gently and carefully. After pouring the mixture into an ungreased 10-inch tube pan, the mixture is baked at 375° for 35-40 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Finally, remove the cake and turn it upside down in the pan onto a large Coke bottle. In about 1½ hours, the cake will be cool. The cake is removed from the pan by running a sharp knife along the sides. Now you are ready to enjoy the most wonderful and sweetest dessert this side of heaven.</p>', 'type': 'instruction', 'image_url': ''}]
Pumpkin Angel Food Cake	{"name": "Pumpkin Angel Food Cake"}	Jazimen Brunkhorst		[{'amount': '1', 'unit': 'cup', 'name': 'pumpkin', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'cinnamon', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'nutmeg', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'Cloves', 'notes': '', 'type': 'ingredient'}, {'amount': '⅛', 'unit': 'tsp', 'name': 'Ginger', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'pkg. one-step angel food cake mix', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Cool Whip', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Combine the pumpkin and seasonings. Prepare cake mix according to package directions. Fold in ¼ of the batter into the pumpkin mixture. Gently fold in remaining batter.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Gently, spoon into an ungreased 10-inch tube pan. Cut through batter with a knife to remove air pockets.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake on the lowest rack at 350° for 39-44 minutes or until the top is golden brown and cake springs back when lightly touched.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Immediately invert the pan onto a wire rack; cool completely, about 1 hour. Serve with whipped topping, sprinkle with cinnamon.</p>', 'type': 'instruction', 'image_url': ''}]
Cake Balls	{"name": "Cake Balls"}	Phil and Ann Brunkhorst	<p>CHOCOLATE CHERRY-FUDGE CAKE</p><p>Monica Piersall</p>	[{'amount': '1', 'unit': '', 'name': 'cake mix', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'container prepared frosting', 'notes': '', 'type': 'ingredient'}, {'name': 'Cake', 'type': 'group'}, {'amount': '1', 'unit': '', 'name': 'pkg. fudge cake mix (I used milk chocolate)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '21 oz can', 'name': 'cherry pie filling', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'almond extract', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'eggs (beaten)', 'notes': '', 'type': 'ingredient'}, {'name': 'Frosting', 'type': 'group'}, {'amount': '6', 'unit': 'tbsp', 'name': 'butter or oleo', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '6 oz package', 'name': 'chocolate chips', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Bake cake as directed on the package. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add 1 container of prepared frosting, using flavor that coordinates with cake. (German chocolate, coconut pecan frosting, lemon cake, lemon frosting, carrot with cream cheese frosting, etc.). Stir cake and frosting together.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Form into balls and freeze.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Dip balls into melted almond bark. Keep refrigerated.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Mix together cake mix, pie filling, almond extract and beaten eggs.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake at 350° in a greased 9x13-inch pan for 30-35 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'text': "<p>For frosting, boil butter, sugar and milk for 1 minute. Add chocolate chips. Frost cake. (Don't let frosting cool very much. It hardens quickly.)</p>", 'type': 'instruction', 'image_url': ''}]
Awesome Carrot Cake	{"name": "Awesome Carrot Cake"}	Alicia Brunkhorst		[{'name': 'Cake', 'type': 'group'}, {'amount': '1½', 'unit': 'cup', 'name': 'oil', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '2¼', 'unit': 'cup', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'cinnamon', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'baking soda', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'coconut', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'carrots', 'notes': 'grated', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'walnuts', 'notes': 'chopped', 'type': 'ingredient'}, {'amount': '1', 'unit': '8 oz can', 'name': 'crushed pineapple', 'notes': '', 'type': 'ingredient'}, {'name': 'Frosting', 'type': 'group'}, {'amount': '1', 'unit': '3 oz package', 'name': 'cream cheese', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Dash of salt', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Powdered sugar', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Combine all cake ingredients.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour into a greased and floured pan. Bake at 350° for 50-60 minutes or until a toothpick inserted comes out clean.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>For frosting, Mix ingredients together with an electric mixer with enough powdered sugar to make the right consistency.</p>', 'type': 'instruction', 'image_url': ''}]
German Chocolate Cake	{"name": "German Chocolate Cake"}	Ann and Phil Brunkhorst		[{'amount': '1', 'unit': '', 'name': 'box German chocolate cake mix', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '15 oz can', 'name': 'coconut pecan frosting', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Mix cake mix according to directions on the box.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add coconut-pecan frosting (the whole 15 oz). Stir to combine.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Put into a cake pan and bake according to cake mix directions. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Frost with an additional can of coconut pecan frosting.</p>', 'type': 'instruction', 'image_url': ''}]
